,DateTime,REGION_ID,SPEED
107612,2015-01-05 23:00:00,11,19.77
107613,2015-01-05 23:00:00,12,16.36
107614,2015-01-05 23:00:00,13,16.36
107615,2015-01-05 23:00:00,14,19.77
107616,2015-01-05 23:00:00,15,22.3
107617,2015-01-05 23:00:00,16,22.5
107618,2015-01-05 23:00:00,17,21.82
107619,2015-01-05 23:00:00,18,19.77
107620,2015-01-05 23:00:00,19,19.77
107621,2015-01-05 23:00:00,20,20.45
107622,2015-01-05 23:00:00,21,20.45
107623,2015-01-05 23:00:00,22,21.14
107624,2015-01-05 23:00:00,23,17.73
107625,2015-01-05 23:00:00,24,21.14
107626,2015-01-05 23:00:00,25,24.75
107627,2015-01-05 23:00:00,26,21.82
107628,2015-01-05 23:00:00,27,21.82
107629,2015-01-05 23:00:00,28,0.0
107630,2015-01-05 23:00:00,29,15.68
107631,2015-01-05 22:50:00,1,17.05
107632,2015-01-05 22:50:00,2,21.14
107633,2015-01-05 22:50:00,3,18.0
107634,2015-01-05 22:50:00,4,17.05
107635,2015-01-05 22:50:00,5,20.45
107636,2015-01-05 22:50:00,6,19.09
107637,2015-01-05 22:50:00,7,18.41
107638,2015-01-05 22:50:00,8,18.41
107639,2015-01-05 22:50:00,9,19.09
107640,2015-01-05 22:50:00,10,17.73
107641,2015-01-05 22:50:00,11,18.41
107642,2015-01-05 22:50:00,12,14.93
107643,2015-01-05 22:50:00,13,15.0
107644,2015-01-05 22:50:00,14,20.45
107645,2015-01-05 22:50:00,15,20.45
107646,2015-01-05 22:50:00,16,27.27
107647,2015-01-05 22:50:00,17,22.5
107648,2015-01-05 22:50:00,18,19.77
107649,2015-01-05 22:50:00,19,19.77
107650,2015-01-05 22:50:00,20,19.09
107651,2015-01-05 22:50:00,21,23.18
107652,2015-01-05 22:50:00,22,22.91
107653,2015-01-05 22:50:00,23,17.05
107654,2015-01-05 22:50:00,24,21.82
107655,2015-01-05 22:50:00,25,23.18
107656,2015-01-05 22:50:00,26,23.86
107657,2015-01-05 22:50:00,27,21.82
107658,2015-01-05 22:50:00,28,0.0
107659,2015-01-05 22:50:00,29,18.41
